Gene,mannwhitneyu pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,l2fc
Cldn3,1.6795156241603022e-08,0.0003666382167617499,0.0003406652984196956,0.0003407233346734005,0.0003406897443609173,0.00031102949843824634,2.3626850297040526e-07,2.49699475016674e-06,1.0374215159738368e-07,1.102472725354005e-07,-0.22103963414634187
Cldn4,7.431069249125403e-07,0.016094086266958407,0.014137786532589236,0.014238671788249184,0.014238671788249184,0.011740346306693225,6.065836666015937e-06,6.410656570803234e-05,2.663422923747128e-06,2.830432070572056e-06,0.1956597560975597
Cldn5,0.0009422108430973333,0.9999999988481878,0.9999989138289221,1.0,0.5,0.5,0.0028299109997404043,0.02990780751963377,0.0012425738185633075,0.0013204890424111568,0.11572317073170701
Cldn6,0.2002442099995584,1.0,1.0,1.0,0.5,0.5,0.250486865279188,1.0,0.10998523300501857,0.11688182451654115,-0.04210975609756229
Cldn7,0.0074010133184183756,1.0,1.0,1.0,0.5,0.5,0.016410034962317143,0.17342883471899403,0.007205413812573713,0.0076572271549570125,0.09706402439024142
Cldn8,1.3180860645469223e-08,0.00028774950495458196,0.0002681681902499955,0.00026820415241400776,0.00026816460983207133,0.0002459021362018738,1.9289908412643388e-07,2.0386466851064395e-06,8.469925435193375e-08,9.001029604940586e-08,-0.21449512195121923
Cldn9,0.0004648417455526802,0.9999609908500614,0.9991666117575859,1.0,0.5,0.5,0.0015394887598555514,0.016270028814553944,0.0006759676990352281,0.0007183540537108333,-0.13458658536585322
Cldnd1,0.4886954799995888,1.0,1.0,1.0,0.5,0.5,0.49239434561688505,1.0,0.21620337965691477,0.22976034864416356,0.0029621951219525045
Cldnd2,3.101427009323977e-08,0.0006769363577078247,0.0006246183386321436,0.0006248134852984083,0.0006247514567582218,0.0005639014588352854,3.997123943164467e-07,4.224345342848191e-06,1.7550804819601422e-07,1.8651322845814355e-07,0.2494073170731701
Clec11a,0.008001193143121716,1.0,1.0,1.0,0.5,0.5,0.017533124111913188,0.18529815997925447,0.0076985463433595185,0.008181281415260068,-0.09451219512195319
Clec12a,0.0006487776308368698,0.9999992984740044,0.9999384680201605,1.0,0.5,0.5,0.0020517686546483514,0.02168403953469558,0.0009009025415459258,0.0009573933690050198,-0.24407500000000226
Clec12b,0.05953251180052212,1.0,1.0,1.0,0.5,0.5,0.094018378483284,0.9936296820797816,0.041282137698966916,0.04387072193571814,0.04245304878048817
Clec14a,0.02818364893952248,1.0,1.0,1.0,0.5,0.5,0.0501828413819908,0.5303554638215022,0.022034574531883566,0.02341624601199641,-0.10422439024390151
Clec16a,0.010849562322446646,1.0,1.0,1.0,0.5,0.5,0.02257213144047484,0.23855271861607047,0.009911103055776875,0.010532575842047896,-0.04254085365853655
Clec18a,2.2426946496394558e-05,0.38717474000338226,0.32461742083392897,0.3924715636869048,0.3923131341183803,0.23794990232674626,0.00011263834797878991,0.0011904141264471584,4.945790244905463e-05,5.255914559678064e-05,-0.15355609756097444
